Compound,Space_Group,Crystal_System,cluster_id,Representative_Compound
Pr3InC_221,221,cubic,57,Gd3PbC_221
Pr3InO_221,221,cubic,58,Gd3SnC_221
Pr3PbC_221,221,cubic,57,Gd3PbC_221
Pr3SnC_221,221,cubic,151,RbPbBr3_8
Pr3SnN_221,221,cubic,58,Gd3SnC_221
Pr7Mn8O24_8,8,monoclinic,97,La3Mn3O10_1
PrCoO3_62,62,orthorhombic,165,SrCa7Mn7CrO23_1
PrCrO3_221,221,cubic,161,Sr3La7Mn7(FeO10)3_1
PrCuO3_221,221,cubic,165,SrCa7Mn7CrO23_1
PrEu2SbO6_225,225,cubic,14,BaSrNdSbO6_216
PrEuHfCrO6_216,216,cubic,158,Sr2CrSbO6_12
PrEuHfFeO6_216,216,cubic,158,Sr2CrSbO6_12
PrEuNbFeO6_216,216,cubic,96,La2NiMoO6_225
PrEuZrMnO6_216,216,cubic,53,EuMoO3_221
PrFeO3_62,62,orthorhombic,97,La3Mn3O10_1
PrGaO3_62,62,orthorhombic,161,Sr3La7Mn7(FeO10)3_1
PrHfO3_221,221,cubic,53,EuMoO3_221
PrInO3_62,62,orthorhombic,96,La2NiMoO6_225
PrLuO3_62,62,orthorhombic,53,EuMoO3_221
PrMgTi2O6_31,31,orthorhombic,19,CaHo(FeO3)2_31
PrMn2ZnO6_31,31,orthorhombic,97,La3Mn3O10_1
PrNbO3_221,221,cubic,53,EuMoO3_221
PrNiO3_62,62,orthorhombic,165,SrCa7Mn7CrO23_1
PrRuO3_62,62,orthorhombic,161,Sr3La7Mn7(FeO10)3_1
PrScO3_62,62,orthorhombic,173,VBiO3_14
PrScS3_62,62,orthorhombic,157,SmScS3_62
PrTiGe3_194,194,hexagonal,23,CeTiGe3_194
PrTiO3_221,221,cubic,161,Sr3La7Mn7(FeO10)3_1
PrVO3_221,221,cubic,161,Sr3La7Mn7(FeO10)3_1
PrVO3_62,62,orthorhombic,97,La3Mn3O10_1
PrZnCr2O6_31,31,orthorhombic,97,La3Mn3O10_1
PuBO3_221,221,cubic,15,BeAuO3_221
PuCrO3_62,62,orthorhombic,173,VBiO3_14
PuCuO3_221,221,cubic,165,SrCa7Mn7CrO23_1
PuMgO3_221,221,cubic,50,ErVO3_62
PuNiO3_221,221,cubic,171,TmRhO3_62
PuPbO3_221,221,cubic,14,BaSrNdSbO6_216
PuPtO3_221,221,cubic,53,EuMoO3_221
PuRh3C_123,123,tetragonal,172,UBRh3_221
PuTiO3_221,221,cubic,173,VBiO3_14
PuVO3_62,62,orthorhombic,173,VBiO3_14
Rb2AgAsCl6_225,225,cubic,26,Cs2DyCuCl6_225
Rb2AgAuBr6_225,225,cubic,65,K2CeCuBr6_225
Rb2AgAuF6_225,225,cubic,12,BaCaLaSbO6_216
Rb2AgBiCl6_225,225,cubic,34,Cs2NaHoCl6_225
Rb2AgMoBr6_225,225,cubic,39,CsAgBr3_6
Rb2AgMoF6_225,225,cubic,6,Ba2ErPaO6_225
Rb2AgPdF6_225,225,cubic,14,BaSrNdSbO6_216
Rb2AgSbBr6_225,225,cubic,27,Cs2GaHgBr6_225
Rb2AgSbF6_225,225,cubic,41,CsEuF3_221
Rb2AlAgBr6_225,225,cubic,39,CsAgBr3_6
Rb2AlAgCl6_225,225,cubic,26,Cs2DyCuCl6_225
Rb2AlHgBr6_225,225,cubic,27,Cs2GaHgBr6_225
Rb2AlInI6_225,225,cubic,143,Rb2InGaI6_225
Rb2AlTlBr6_225,225,cubic,43,CsTlBr3_8
